content,label,16000
내가!!!!진짜 핀날개다!!!!,0,
이게 순발력 ㄷㄷㄷ 2시 2핀으로 넘어갔는데 ㄷㄷㄷ,0,
순발력보면 개빡숙인데,0,
활짝핀시밬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
이새끼 빡숙임 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,
센스ㅋㅋㅋㅋㅋㅋㅋㄱㅋ,0,
ㅋㅋㅋ 개귀엽네,0,
이시리즈 존나웃기네 시발ㅋㅋㅋㅋ,1,
다이아 3300개 부럽노,0,
시리우스 커엽노,0,
미치겠네 ㅋㅋㅋㅋ,0,
씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,
그와중에 지휘관렙 300이노ㅋㅋㅋㅋㅋㅋ치트키썼노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
돌겠네,0,
미친새끼얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
"미친놈...미친놈...미친놈..,",0,
개추,0,
다른이름으로 사진저장,0,
배꼽 미친듯이 핥고싶다 개꼴려,0,
족고수는 개추야,0,
무친 족고수,0,
이건.. 보물이야 ㄷㄷ..,0,
그... 19금 탭달고 더 강하게 그려보시면 안됩니까...?,0,
라오챈의 보배인데스,0,
ㅋㅋ섻,0,
ㅍㅍㅍ 하지만 가운데가 없어져서 꼴리는걸,0,
오 선이 두꺼워졌네 더 좋은듯,0,
타락!,0,
와 진짜 섹스 그 자체,1,
"나는 롤은 안해봤는데 니말에 전적으로 동의해. aos장르는 초반에강한 암살캐릭이 초반 진짜 제대로못잡으면 대기만성형캐릭터들 한껏 움츠려있다가 나오면서 밀리는거 그게 정상적인 상황이라고생각하는데 문제는 요즘 전체적인 게임의 흐름이 빨리빨리를 추구한다는거고 실제로 그런걸 원하는 유저가 많은게 체감이됨. 배그를 예로들어도 자기장밖에서 생존을 아주힘들게만들고 아이템드랍률을 높이는등의 패치에 새로나오는맵들도 탁트인맵에 좁은사이즈로 잦은교전, 빠른진행을 추구하고. 장르를떠나서 한판의 플탐을 줄이는거에 게임사들이 초점을두고있는건 맞는거같아.",0,
ㅇㅇ 한판 한판에 시간이 오래걸리면 결국은 피로도 문제임 잦은 교전을 유도하면서 빠르게 승패가 결정되서 빨리 다음판을 하도록 유도를 하는 중임 이게 트렌드고 배그도 초반엔 존버메타 건물하나 먹고 꾸역꾸역 알박기 하면 순위가 오르는 그런 구조였음 파밍도 힘든편이라 이동을 하면서 시체파밍을 해야했고 배그는 한번 죽으면 끝이라 수비적으로 움직이게 되었고 그러니 게임이 루즈해지고 성질급하고 싸움을 좋아하는 유저들은 딴겜으로 이탈을 하니 게임개발자들은 억지로 템포를 조정함 그러니 게임의 큰틀이 박살나면서 아에 다른 게임으로 변하는거 같음,0,
너나 나같은애들은 한판의 게임을 제대로 뜯고 맛보는걸 더 좋다고생각하는데 현재 다수의 이용자가 빠른게임을 추구하니 그렇게되는거같다. 한두종류의 메이저게임이 대중문화가 돼버려서 어쩔수없는듯. 게임이라도 좀 다양하면 성향맞는쪽으로 가서 놀면되는건데,0,
유저수가 곧 수익이라서 그런거지 게임이 압축되면 좋은 점도 있겠지만 초반에 만들어진 틀을 좋아하는 애들은 반감이 심해지고 이게 익숙해지는 문제는 아님 배그를 생각해보면 배그의 느린 템포 저격질하면서 양각잡고 숨어서 놀았는데 호전적인 애들이 딴겜 특히 에이펙스로 넘어가면서 배그의 입지가 줄어들게 된거 같음 그러니 배그도 에이펙스를 보고 따라하는 걸로 보임 배그에 부활이 없었지만 어느순간 부활시스템이 생긴거 보면 배그안한지 오래됐는데 너말대로 파밍이 쉬워진거 보면 에이펙스의 잦은 교전을 따라하는걸로 보임,0,
배그는 그래도 초창기 넓은맵들을 조금 개선해서 빨라지긴했어도 옛날같은플레이를 어느정도 가능하게했고 그맵엔 그런놈들이 많이모이니 그게되는데 롤은 그게안되니까 문제는 아는데 답은 못내리겠네. 그냥 적응해야지뭐,0,
뭐 그래야지 할 수 없잖아 빠른템포가 나쁜건 아니지만 결국은 적응의 문제니 롤은 어느순간 왕좌를 뺏기기 쉬울듯한데 롤은 중독성이 심한 게임이라 뭘해도 계속 사람들이 많이 할듯,0,
그부분은 나랑 좀 의견이 다르네. RPG는 별개로 놓고 FPS나 TPS같은 슈팅게임이랑 다르게 AOS장르. 특히 롤같이 챔을 미친듯이 많이뽑아낸게임에 적응된애들이 다른게임으로 잘 넘어갈까 모르겠어. 북미에서 먼저 인기를 끌었던 롤이 한국의 카오스를 잡아먹을때까지 그렇게 오랜시간이 걸리지않았던것보면 게임의 완성도는 딱히 깔게없다고보고 운영자체도 나쁜편은 아닌거같아서. 카오스는 워3기반이라 당연히 세대교체가 될수밖에없었는데 롤은 주기적인 패치로 시스템적인면도 손을볼수있어서 최소 5~10년은 더 간다고봐. 내가 게임개발자라고생각한다면 현재 제일 개발하기 싫은장르가 AOS장르일거같아.,0,
뭐 결과론 적이긴 해도 급변하면 결국 망하게 되어 있음 롤은 서서히 그걸 수정하면서 조련에 성공한 케이스로 보임 롤의 룰을 보면 아주 단순한 구조임 라인3개 정글 넥서스를 부수면 끝이다 그리고 팀게임이지 이런 조합은 축구처럼 롱런하기 딱좋아 비슷한 게임은 많이 있지만 축구가 메인인 것도 선점효과와 인기지 비슷한 게임으로 이주하는건 쉽지 게임도 내가 보기엔 하나의 흐름 같음 로마제국이 운영에 실패해 다른 나라로 몇백년뒤 영국이 그다음은 미국이 하나의 트렌드의 흐름이지 게임역사를 되세김질 해보면  초반엔 rpg 그다음은 fps 그다음은 aos장르가 인기가 있었고 aos태평성대는 언제끝날지는 아무도 모르지 롤을 죽여버리는 게임이 안나올리가 없다는 그런건 없는거 같아 매니아층만 남은 격겜유저들을 보면 결국은 시간의 흐름같아,0,
aos처음 등장은 도타였던걸로 알고 흥했던건 세기초 카오스부터였는데 FPS처럼 이장르도 망하진않을거야. 롤을 대신할만한 좋은 AOS가 나온다면 아마 유저들이 몇년동안 쭉 이주하면서 옮겨가겠지. 오리지날캐릭터들을 많이갖고있는 블리자드가 굉장히 유력한 후보였는데 그 좋은 캐릭터들로 만든게 히오스인거보고 할말을 잃어버렸다.,0,
솔직히 히오스는 선점에서 밀린 게임이고 롤의 단점을 개선을 시도하다 결국 나온게 공산주의식 운영이라서 매력이 확 죽은거지 누구나 영웅이 될 수 있어도 모두가 평민이면 재미가 없듯이 스타플레이를 원천차단한게 너무컷음,0,
"ㅇㅇ 공산주의식운영 시발 ㅋㅋ 카오스에서 롤까지 15년가까이 AOS하는애들보면 유저성향의 대부분이 암살만세킬딸맨, 금의환향왕귀맨이 인기제일많은데 그걸 워천봉쇄해놨으니 재미가있을리가... 게임은져도 나는 잘하면 팀욕이라도하면서 자위해야되는데 그것까지 안되니 ㅠㅠ",1,
솔직히 롤의 특정시스템만 따라하고 맵을 그렇게 했으면 인기많았을듯,0,
맵이고자시고 롤 그냥 복붙해놓고 캐릭터만 지들거해도 롤유저 3할은 뺄수있었을걸 복붙했다고 문제생길것도없고,0,
솔직히 참신한 시도가 재미없는거지 나도 히오스 많이 했는데 결국은 재미가 없었음 스타 플레이는 없거든,0,
암살자 오브 레전드가 극혐인건 사실임 내가 안당해도 다른새끼들이 따로놀다 잘리는건 진심 좆같음,1,
어디서 많이 봤다 싶었는데 사퍼였노ㅋㅋ,0,
사퍼가 어떻길래 한번도 안해봄,0,
사퍼도 똑같이 AOS장르인데 기존의 쿼터뷰가아니라 3인칭뷰라서 시야각을이용한 전술도많고 잘만든게임임. 내취향엔안맞더라,0,
한번 밀리면 밑도 끝도 없이 밀리고 조합 존나 타고 근거리 딜러가 잘 크면 다 씹어먹고 진짜 저기 써있는 그대로임ㅋㅋㅋ 대신 이 겜은 라인전이 거의 없다고 봐도 되서 무조건 한타인데 그럼 말 다했지,0,
어떻게 보면 그게 모두에 맞는 게임성이긴해 교전이 많고 압도적으로 이기면,0,
맞음 근데 롤이 지금 딱 그 꼬라지 나는 느낌임 뭔가 예전에 베인 041이 진짜다 하던 때랑 너무 달라져서 성장하기가 엄청 빡세진 느낌,0,
다시 생각해보면 3킬5뎃 베인 그놈이 쓴 공략법은 어떻게 보면 후반까지 바라 볼 수 있는 롤의 메타에 병신같이 비굴하게 적응한 결과값같아보임 그땐 누우면 성장이 가능했지만 지금은 망하면 조금만 앞으로 나가면 뒤지니,0,
"요즘보면 1,2천골차이로도 한타스무스하게 밀림. 과거처럼 좀 누우면서 5천 1만골차이나도 버티면서 역전하는 게임이 엄청 드물어짐. 스킬계수, 캐릭, 몹, 아이템, 포탑방패 등등 많은게 바뀌어서 그런듯",0,
LCGAY식 90분 70분 겜이 맘에 안들었다면 뭐 그럴 수 있긴 한데,0,
T1과 진에어의 전설적인 94분 게임이 LOL역사를 바꿔놓았다,0,
예전에 탑블라디로 75분 역전승한 게임 있었는데 그땐 시즌 5인가 그래서 가능했고 지금은 그런거 걍 불가능임... ㄹㅇ,0,
대회에서 ㅈㄴ누워서 90분게임 ㅇㅈㄹ하니까 어쩔수없음,0,
내가 시즌3에서 5 하다가 접고 최근에 다시 했다가 노잼이라 느낀게 이거 때문같음,0,
너무 스무스하게 밀리는건 안되닌깐 강타 조정해서 장로나 바론으로 역전 할 수있게 만든거 같음,0,
그래도 돈에 맞으면 뭐하나 못챙김 몸던져서 스틸을 노려봐도 안되면 그냥 밀리고 아에 줘야하는게 너무많음,0,
"개인적으론 게임 빠르게하겠다고 지금처럼 게임 ㅈ창내놓을 바에는   차라리 옛날처럼 게임한판 40분,1시간 길게 하는게 더 재미있을듯",0,
눕기메타 원조인 도타도 요즘 라인전에서 게임이 반쯤 끝나서 게임시간 줄어들고 스노우볼 지리고 역전 뜸해지는중 개발자들이 게임당 시간을 줄일라고 이악물고 패치하다보면 어쩔수없는것같아,0,
원콤 내기 존나 힘든 히오스 하실?,0,
만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!만신!,0,
시발 만신,1,
린티 그는 신인가,0,
진심 쩔어 ㅁㅊ,0,
오오....,0,
만메펀치!!,0,
만신 관련!만신 관련!만신 관련!,0,
진만심메 ㄷㄷ,0,
만신,0,
엄마 난 커서 만메가 될레요!엄마 난 커서 만메가 될레요!엄마 난 커서 만메가 될레요!엄마 난 커서 만메가 될레요!엄마 난 커서 만메가 될레요!엄마 난 커서 만메가 될레요!엄마 난 커서 만메가 될레요!엄마 난 커서 만메가 될레요!엄마 난 커서 만메가 될레요!,0,
"""만신""",0,
만신 살아있었구나!,0,
진심 만메 살짝 개방,0,
진심만메 ㄷㄷ,0,
진심모드 ㄷ,0,
진 심 모 드,0,
만메! 내 딸과 결혼해도 좋네!만메! 내 딸과 결혼해도 좋네!만메! 내 딸과 결혼해도 좋네!만메! 내 딸과 결혼해도 좋네!만메! 내 딸과 결혼해도 좋네!만메! 내 딸과 결혼해도 좋네!,0,
개껄려,0,
ㅋㅋㅋㅋㅋㅋㅋ 손목국은 어쩔 수 없짘ㅋㅋㅋㅋ,0,
짤 시발 적절한거ㅋㅋㅋㅋ,0,
거를 타선이 없누 ㅋㅋㅋ,0,
요악 정확하네 ㅋㅋ,0,
콩고 ㅋㅋㅋㅋ,0,
그저 영국...,0,
히틀렄ㅋㅋㅋㅋㅋㅋㅋㅋ,0,
그린란드짤 전당포 빡빡이 아저씨 짤이네,0,
그나저나 영국 존나 웃기네 ㅋㅋㅋㅋ,0,
오스만 제국이 Osman이 아니였다니,0,
ㄴㄴ  오스만은 아랍권 성씨 우쓰만Utman의 터키식 발음으로서 터키 원어 표기로 Osman이 맞음. 오토만Ottoman이라는 표기는 그리스식 표기인 오쏘마니코스othomanikós에서부터 프랑스를 거쳐서 영어나 독일어 등으로 전해진 거임.,0,
ㅇㅎ ㄱㅅ,0,
재밌넼ㅋㅋ,0,
로마랑 신성로마는 무슨뜻임?,0,
로마제국은 존나 쎘는데 신성로마제국은 이름값 못함,0,
로마는 핫했지만 로마의 뒤를 이었다는 신롬은 신성하지도 않고 제국도 아니고 하다못해 로마도 아니라고 까이는 나라라...,0,
손문의 중화민국과 모택동의 중공 정도의 차이,0,
로마라는 이름은 때깔 좋은데  전혀 안 어울리는 이상한 놈이 붙어 있음,0,
로마도 아니고 신성도 아니고 제국도 아니라 그랬었나,0,
신성로마 짤 ㅈㄴ웃기노ㅋㅋㅋㅋ,0,
전쟁범죄짤 ㅋㅋㅋ 하긴 터키는 지들이 학살 안했다고 하면서도 아르메니아 애들은 죽을만했음 ㅇㅇ 이러니.,0,
예술학교 입시는 무슨 얘기지..?,0,
히틀러 예술학교 입시 떨어짐,0,
앗... 그런 역사가 있었구만;;;,0,
영국은 지들이 조져놨다고는 가르치나보네,0,
그렇다기보다는 대영제국의 진출 같이 엄청 미화해서 가르치는거 같은데 이번 브렉시트때 대부분 영국인들이 EU 탈퇴 이유를 옛 영광을 찾기 위해서라고 답했다고 들음,0,
로마랑 신성로마랑 비슷한 줄 알았더니 전혀 다른 거였네 ㅋㅋㅋㅋㅋ,0,
ㅅㅂㅋㅋ 존나 유쾌하네,0,
히틀러는 총통이니 메르켈이 최악의 수상이긴 해,0,
ok클라호마 ㅇㅈㄹㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
신성하지도 않고 로마도 아니고 제국도 아님,0,
"콩고는 끊없는 내전과 자연재해로 전혀 통제가 안 되는 지옥같은 상황이 된 걸 보면, 벨기에의 통치가 잔인했는지는 둘째치고 통치를 했다는 것 자체가 신기하게 보인다. 통치 꼬라지를 보면 벨기에가 민심을 얻었을 리도 없고, 인구로 보면 힘으로 찍어누를 수 있었을 것 같지도 않는데.",0,
병신 ㅋㅋ,1,
븅신 ㅋㅋ,1,
이걸 천장을 치네 ㅋㅋㅋㅋ,0,
병신 ㅋㅋ 이제 뽑기 3번 할 수 있노,1,
전과 8범 ㄷㄷ,0,
유쾌하다,0,
다른 건 잘 모르는데 저 연어 수상하게 들고 있으면 체포는 연어 불법 조업 현행범 체포하려고 만든 법이라고 영어 위키에서 그러더라.,0,
근데 그 수상하게의 기준이 뭐냐고ㅋㅋㅋㅋ 연어가 무슨 붕어도 아니고 사람이 들어봐야 두세마리일건데 사서 사는건지 불법 조업인지 알게뭐야,0,
상세하게 명문화가 된 법은 우회하기도 쉽고 시대가 바뀌었을때 개정하기 어렵다는 점이 있음,0,
반면에 '수상하게' 'Outrageous' 등은 결정권자에 의해 판단이 되는 주관적인 기준이기 때문에 권력자의 재량에 따라 편하게 해석될수 있음.,0,
법도 재정을 상세하게 하냐 뭉뚱그려 하냐 따라 일장일단이 있구먼,0,
대체로 영국인들은 상황에 맞춰서 유연하게 적용하는 걸 좋아함. 독일인들은 원칙을 복잡하게 만들어서 완고하게 지키는 걸 좋아하고.,0,
오마바 표정 ㅋㅋ,0,
짭포이 뭐냐 ㅋㅋㅋ,0,
오 근데 기사갑옵 입은거 간지좀 나노,0,
애초에 사형제가 폐지되었는데 참수를 왜 하겠니,0,
법률에 아직도 저 조항들이 있으니까 실험하는거 아닐까,0,
영국 현 총리 집 현관문 앞에 누구나 다가갈 수 있다는게 신기하네,0,
존나 악질이네 ㅋㅋㅋㅋㅋ,0,
아주그냥 다했네 ㅋㅋ,0,
환영합니다 인증 후 모든 탭이 보이니 관.리자를 호출해주세요,0,
환영합니닷!!!!!,0,
와정말요,0,
이건 개추지,0,
100점,0,
그래요 5성 캐릭터 몇 번만에 뽑은지도 적어주시면 감사하겠습니다.!!,0,
속이는 자만 있고 속는 자는 없는,0,
반가워요~^^,0,
반갑습니다~~,0,
신입추,0,
언제나 환영합니다!!,0,
너무 당당해서 컨셉같노,0,
이건 대놓고 컨셉이지,0,
어서오세요! UID 인증해주시면 주황색 딱지 붙은 분이 등.업해주실 거에요!,0,
서이 환영이에요,0,
비밀댓글입니다,0,
"야점,,",0,
뭐야 미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
ㅅㅂㅋㅋㅋㅋㅋ,0,
필력좆되네ㅋㅋㅋㅋㅋㅋㅋㅋ,1,
세상이 어둠으로 뒤덮혔다',0,
필력봐라ㅋㅋㅋㅋㅋ,0,
그남쌀가 미쳤노 ㅋㅋㅋㅋ,0,
키갤문학,0,
작가냐? 필력 오지네ㅋㅋ,0,
막줄씹 ㅋㅋ,0,
와 개잘쓰네 ㅋㅋㅋㅋ,0,
4차대회 https://arca.live/b/hk3rd/31931350,0,
이거 원작뭐임 ㅋㅋㅋㅋ,0,
내머릿속에있음,0,
필력씨발ㅋㅋㅋ,1,
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 근데 페이몬 데리고 있는 남자면 설마 남행자...?,0,
필력ㅋㅋㅋㅋ,0,
근왜남??,0,
동서남북 울부짖으며 개추 눌렀다,0,
십ㅋㅋㅋㅋㅌ,0,
이거 헬지혐오야,0,
폭도들 캐릭터 성별이 이상한데?!?!,0,
갤스문학 미쳤노,0,
그래서 그냥 플레이스토어로 다시 돌아옴ㅋㅋㅋ,0,
이게 문학이지 ㅋㅋㅋㅋㅋㅋㅋ,0,
존나 잘 쓰네,0,
존나 웃기노 ㅋㅋㅋㅋㅋㅋ,0,
명문이다...ㅠㅠ,0,
와 이게문학?,0,
이게 현대문학이지 ㅋㅋㅋㅋㅋㅋ,0,
이게 문과다,0,
지배극장 프롤로그냐고 ㅋㅋㅋ,0,
역시 다들 페이몬을 좋아하는게 분명해,0,
왤케 고수임?,0,
무슨 팟이길래..,0,
비아 노말 개빡숙팟,0,
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃기네,0,
워로드가 존나웃기네 ㅋㅋㅋ,0,
십 ㅋㅋㅋㅋㅋㅋㅋ,0,
워로드 만점,0,
워로드가 제일 웃기네 시벌거 ㅋㅋㅋㅋㅋㅋㅋ,0,
역시 딜각 개잘재는 워황;,0,
황로드 ㅋㅋㅋ 유쾌하다,0,
워로드좌 ㅋㅋㅋㅋㅋㅋㅋ,0,
워로드가 캐리했네 ㅋㅋㅋㅋㅋㅋㅋ,0,
로망 버캐는 인정이지,0,
워황 딜 잘넣네ㅋㅋㅋㅋ,0,
워로드 딜잘하노ㅋㅋㅋㅋㅋㅋㅋㅋ역시워황,0,
기승전결 완벽 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
워황 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
탈주 배마 공감 저러면 바로 탈주각 재지 ㅋㅋㅋㅋㅋㅋ,0,
헬라그 붐은 온다...,0,
개고수 ㄷ,0,
틀 키울려는데 이글보니 왤케 불안하냐,0,
다시 천천히 생각해봐...2정하고 ㅈㄴ 후회중이야...,0,
고맙다 덕분에 헬라그 손떼고 약팔이 키우러간다,0,
성능도 애매한데 패러독스까지 있어 키울지 말지 고민되는 놈들,0,
패신저는 언급할 가치도 없다는건가,0,
막줄보고 개추눌렀다,0,
패싱저 ㅇㄷ?,0,
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 돌겠네 ㅋㅋㅋㅋㅋㅋ 이걸 안키운단 말이야?,0,
아무리 그래도 모슴이랑 틀을 비비는건 좀 아닌데,0,
협약에선 기합회피로 독보적인 위치라서..,0,
현실도피 게이야,0,
할배 그래도 머드락 없을때 무지성으로 던지기 좋았다고,0,
뉴비에게 조은 팁이 됬슴 이 두마리 나오면 존나게 욕해야겠네,0,
무슴이는 이쁘니까 픽뚫로 풀잠해도 용서해줄 수 있어,0,
난 그나마 모스티마 저번 협약때 은근 잘 쓰긴 했음,0,
나앤 진자 착하다,0,
나앤 왤케 착해,0,
메이 귀여워 ㅋㅋ,0,
대를 위한 소의 희생,0,
야이앀ㅋㅋㅋㅋ 나앤 멕이는거잖어 이건,0,
와ㅋㅋㅋㅋ진짜네,0,
그야말로 앤젤,0,
역시 천사야,0,
외면이 아니라 내면이 천사,0,
천사 그자체 ㅠㅠ,0,
대의를 위한 희생,0,
참부관,0,
참된 부하네.,0,
진정한 트루 부관,0,
착해착해,0,
개인의 욕망이 아닌 대장의 아다 떼기가 소원인 그저 빛,0,
